time_point,mean_trust,std_trust
0,0.7396,0.0
1,0.658725,0.0
2,0.57785,0.0
3,0.496975,0.0
4,0.4831,0.0
5,0.485975,0.0
6,0.48885,0.0
7,0.469825,0.0
8,0.43620000000000003,0.0
9,0.402575,0.0
10,0.3727125,0.0
11,0.34849375,0.0
12,0.324275,0.0
13,0.30228125,0.0
14,0.2891875,0.0
15,0.27609375,0.0
16,0.263,0.0
17,0.26259375,0.0
18,0.2621875,0.0
19,0.26178124999999997,0.0
20,0.252525,0.0
21,0.24105625,0.0
22,0.2295875,0.0
23,0.22576875000000002,0.0
24,0.22705,0.0
25,0.22833124999999999,0.0
26,0.214975,0.0
27,0.1796625,0.0
28,0.14434999999999998,0.0
29,0.11348124999999999,0.0
30,0.10038749999999999,0.0
31,0.08729375,0.0
32,0.0742,0.0
33,0.0682,0.0
34,0.062200000000000005,0.0
35,0.0562,0.0
36,0.051075,0.0
37,0.04616875,0.0
38,0.0412625,0.0
39,0.03830625,0.0
40,0.03665,0.0
41,0.034993750000000004,0.0
42,0.034,0.0
43,0.034,0.0
44,0.034,0.0
45,0.034,0.0
46,0.034,0.0
47,0.034,0.0
48,0.034,0.0
49,0.032375,0.0
50,0.03075,0.0
51,0.029124999999999998,0.0
52,0.027475,0.0
53,0.02581875,0.0
54,0.0241625,0.0
55,0.021531250000000002,0.0
56,0.01825,0.0
57,0.01496875,0.0
58,0.013,0.0
59,0.013,0.0
60,0.013,0.0
61,0.013,0.0
62,0.013,0.0
63,0.013,0.0
64,0.013,0.0
65,0.011375,0.0
66,0.00975,0.0
67,0.008125,0.0
68,0.0078,0.0
69,0.0078,0.0
70,0.0078,0.0
71,0.0078,0.0
72,0.0078,0.0
73,0.0078,0.0
74,0.0078,0.0
75,0.0078,0.0
76,0.0078,0.0
77,0.0078,0.0
78,0.0078,0.0
79,0.0078,0.0
80,0.0078,0.0
81,0.0078,0.0
82,0.0078,0.0
83,0.0078,0.0
84,0.0078,0.0
85,0.0078,0.0
86,0.0078,0.0
87,0.0078,0.0
88,0.0078,0.0
89,0.0078,0.0
90,0.0078,0.0
91,0.0078,0.0
92,0.0078,0.0
93,0.0078,0.0
94,0.0078,0.0
95,0.0078,0.0
96,0.0078,0.0
