time_point,mean_trust,std_trust
0,0.29999999999999993,5.551115123125783e-17
1,0.2536638888888889,0.031752153187019606
2,0.2234045138888889,0.0390953505648434
3,0.20047187499999997,0.04334062623927462
4,0.18343680555555553,0.042240950187959016
5,0.17597447916666664,0.039928592719344735
6,0.1714701388888889,0.03795550926854858
7,0.16383958333333334,0.035868202677645455
8,0.1570652777777778,0.03426627162029994
9,0.15374496527777778,0.033937713322605735
10,0.15244583333333334,0.04060916566413918
11,0.1435909722222222,0.03240300215243254
12,0.13966874999999998,0.03408776897838301
13,0.13246788194444448,0.02953675027418386
14,0.12512500000000001,0.0263364681183979
15,0.12051423611111112,0.025703732456985557
16,0.11898611111111114,0.03209510522370954
17,0.11381180555555555,0.03160597680344714
18,0.10579062499999999,0.023547787114605735
19,0.09814340277777776,0.01932241469161796
20,0.0925125,0.017666112412689384
21,0.08760451388888889,0.016916624596565552
22,0.08143819444444446,0.014798641971655604
23,0.07547847222222222,0.013576952660395894
24,0.07319166666666665,0.022888610098086386
25,0.06966232638888889,0.028654094575279475
26,0.05991770833333333,0.01484372532892687
27,0.05572465277777778,0.017926533041890902
28,0.050313888888888894,0.019474652279420062
29,0.045807118055555554,0.022601900707410107
30,0.04140659722222222,0.026072163182632117
31,0.03749583333333333,0.030454402515818404
32,0.03641111111111111,0.041633985701973075
33,0.02902986111111111,0.03120927263102736
34,0.025165625,0.027814900899024785
35,0.02362777777777778,0.025361005306517616
36,0.021659027777777784,0.02286575397745637
37,0.020472395833333337,0.019866724622671774
38,0.019969097222222225,0.017758165726398725
39,0.01920381944444445,0.015443318198875051
40,0.018469444444444445,0.013173543972768645
41,0.018348611111111118,0.013036693599814029
42,0.018095833333333335,0.012637320033887284
43,0.01798819444444445,0.01257840202229256
44,0.01780138888888889,0.01239318101098292
45,0.01777256944444445,0.012411600290992777
46,0.017735416666666667,0.012535003247850042
47,0.017658680555555556,0.012604965563333221
48,0.01760555555555556,0.012455274305477637
49,0.017595486111111114,0.012333464210587182
50,0.01770138888888889,0.012375814990621781
51,0.017443402777777783,0.012315436845214406
52,0.017429166666666673,0.012307862916986578
53,0.01784479166666667,0.012664123622530544
54,0.017504861111111117,0.01247658024037832
55,0.017290972222222225,0.012602488735113904
56,0.017083333333333336,0.012839749478345232
57,0.01650451388888889,0.011512055842099302
58,0.015843750000000004,0.010077403774796254
59,0.01584756944444445,0.008998290525074731
60,0.01512638888888889,0.007444621810698041
61,0.014949652777777782,0.006254423598508149
62,0.014833333333333337,0.005354126134736337
63,0.014465972222222226,0.00417280756962471
64,0.01396666666666667,0.0027341462205879843
65,0.011960763888888885,0.0023474755626349364
66,0.01056388888888889,0.0024249745448581264
67,0.010027083333333332,0.0026199993704939875
68,0.009161111111111111,0.0021028786853815643
69,0.008766666666666667,0.001668192010331345
70,0.008822222222222224,0.0015960430429852847
71,0.008686458333333334,0.0015209763774053165
72,0.008558333333333333,0.0014412812586954244
73,0.008544791666666668,0.0013703872279446745
74,0.008531249999999999,0.0013204340221852982
75,0.008517708333333334,0.0012938493822537203
76,0.008504166666666667,0.0012920765478699608
77,0.008517708333333334,0.0012915797181756836
78,0.008495138888888889,0.0012815947292940623
79,0.008472569444444444,0.001314534037125248
80,0.008544444444444445,0.00139770535053479
81,0.008635069444444443,0.0014533951195905715
82,0.008720833333333334,0.0014794541974059968
83,0.00856736111111111,0.001225718248116357
84,0.008558333333333331,0.0011916666666666664
85,0.008806597222222223,0.0015091855215527698
86,0.008603472222222222,0.0012190174603642228
87,0.008477083333333333,0.0012411142507172065
88,0.008450000000000001,0.0013703203194062976
89,0.008395833333333333,0.0014382244551297732
90,0.008197222222222224,0.0012090483197565649
91,0.008395833333333333,0.0015782869141361252
92,0.008161111111111112,0.0012106650554729041
93,0.00825138888888889,0.0013318343715379463
94,0.008377777777777779,0.001634202338742243
95,0.008377777777777779,0.001634202338742243
96,0.008377777777777779,0.001634202338742243
