timestamp,sp_id,sr_id,sr_type,dtm,rtm,rsm,violations,neighbors_count,violation_history_count
0,0,23,smartphone,0.3000,0.0000,0.3000,0,1,1
0,0,40,smartphone,0.3000,0.0000,0.3000,0,1,1
0,0,99,smartphone,0.3000,0.0000,0.3000,0,1,1
0,0,130,smartphone,0.3000,0.0000,0.3000,0,1,1
0,0,209,car,0.5000,0.0000,0.4000,0,1,1
0,0,415,transportation,0.8000,0.0000,0.3000,0,1,1
0,0,416,transportation,0.8000,0.0000,0.3000,0,1,1
0,0,420,transportation,0.8000,0.0000,0.3000,0,1,1
0,0,422,transportation,0.8000,0.0000,0.3000,0,1,1
0,0,423,transportation,0.8000,0.0000,0.3000,0,1,1
0,1,31,smartphone,0.3000,0.0000,0.3000,0,1,1
0,1,59,smartphone,0.3000,0.0000,0.3000,0,1,1
0,1,117,smartphone,0.3000,0.0000,0.3000,0,1,1
0,1,170,smartphone,0.3000,0.0000,0.3000,0,1,1
0,1,286,smart fitness,0.2000,0.0000,0.4000,0,1,1
0,1,403,transportation,0.8000,0.0000,0.3000,0,1,1
0,1,404,transportation,0.8000,0.0000,0.3000,0,1,1
0,1,405,transportation,0.8000,0.0000,0.3000,0,1,1
0,1,414,transportation,0.8000,0.0000,0.3000,0,1,1
0,1,416,transportation,0.8000,0.8000,0.3000,0,2,2
0,1,419,transportation,0.8000,0.0000,0.3000,0,1,1
0,1,423,transportation,0.8000,0.8000,0.3000,0,2,2
0,2,16,smartphone,0.3000,0.0000,0.3000,0,1,1
0,2,39,smartphone,0.3000,0.0000,0.3000,0,1,1
0,2,62,smartphone,0.3000,0.0000,0.3000,0,1,1
0,2,82,smartphone,0.3000,0.0000,0.3000,0,1,1
0,2,164,smartphone,0.3000,0.0000,0.3000,0,1,1
0,2,236,car,0.5000,0.0000,0.4000,0,1,1
0,2,415,transportation,0.8000,0.8000,0.3000,0,2,2
0,2,418,transportation,0.8000,0.0000,0.3000,0,1,1
0,2,419,transportation,0.8000,0.8000,0.3000,0,2,2
0,3,7,smartphone,0.3000,0.0000,0.3000,0,1,1
0,3,44,smartphone,0.3000,0.0000,0.3000,0,1,1
0,3,49,smartphone,0.3000,0.0000,0.4200,0,1,1
0,3,64,smartphone,0.3000,0.0000,0.3000,0,1,1
0,3,68,smartphone,0.3000,0.0000,0.3000,0,1,1
0,3,101,smartphone,0.3000,0.0000,0.3000,0,1,1
0,3,166,smartphone,0.3000,0.0000,0.3000,0,1,1
0,3,169,smartphone,0.3000,0.0000,0.3000,0,1,1
0,3,339,street light,0.7000,0.0000,0.3000,0,1,1
0,3,341,street light,0.7000,0.0000,0.3000,0,1,1
0,3,354,street light,0.7000,0.0000,0.3000,0,1,1
0,3,357,street light,0.7000,0.0000,0.3000,0,1,1
0,3,358,street light,0.7000,0.0000,0.3000,0,1,1
0,3,361,street light,0.7000,0.0000,0.3000,0,1,1
0,3,373,street light,0.7000,0.0000,0.3000,0,1,1
0,3,381,environment monitor,0.9000,0.0000,0.3000,0,1,1
0,3,386,point of interest,0.7000,0.0000,0.3000,0,1,1
0,3,417,transportation,0.8000,0.0000,0.3000,0,1,1
0,3,418,transportation,0.8000,0.8000,0.3000,0,2,2
0,3,419,transportation,0.8000,0.8000,0.3000,0,3,3
0,3,423,transportation,0.8000,0.8000,0.3000,0,3,3
0,3,427,transportation,0.8000,0.0000,0.3000,0,1,1
0,5,142,smartphone,0.3000,0.0000,0.3000,0,1,1
0,5,222,car,0.5000,0.0000,0.4000,0,1,1
0,5,421,transportation,0.8000,0.0000,0.3000,0,1,1
0,6,32,smartphone,0.3000,0.0000,0.3000,0,1,1
0,6,109,smartphone,0.3000,0.0000,0.3000,0,1,1
0,6,170,smartphone,0.3000,0.3000,0.3000,0,2,2
0,6,180,smartphone,0.3000,0.0000,0.3000,0,1,1
0,6,415,transportation,0.8000,0.8000,0.3000,0,3,3
0,6,418,transportation,0.8000,0.8000,0.3000,0,3,3
0,6,421,transportation,0.8000,0.8000,0.3000,0,2,2
0,7,3,smartphone,0.3000,0.0000,0.3000,0,1,1
0,7,13,smartphone,0.3000,0.0000,0.3000,0,1,1
0,7,18,smartphone,0.3000,0.0000,0.3000,0,1,1
0,7,38,smartphone,0.3000,0.0000,0.6000,0,1,1
0,7,63,smartphone,0.3000,0.0000,0.3000,0,1,1
0,7,129,smartphone,0.3000,0.0000,0.3000,0,1,1
0,7,134,smartphone,0.3000,0.0000,0.3000,0,1,1
0,7,135,smartphone,0.3000,0.0000,0.3000,0,1,1
0,7,145,smartphone,0.3000,0.0000,0.3000,0,1,1
0,7,149,smartphone,0.3000,0.0000,0.3000,0,1,1
0,7,182,smartphone,0.3000,0.0000,0.3000,0,1,1
0,7,184,smartphone,0.3000,0.0000,0.3000,0,1,1
0,7,218,car,0.5000,0.0000,0.4000,0,1,1
0,7,388,point of interest,0.7000,0.0000,0.3000,0,1,1
0,7,389,point of interest,0.7000,0.0000,0.3000,0,1,1
0,7,390,point of interest,0.7000,0.0000,0.3000,0,1,1
0,8,13,smartphone,0.3000,0.3000,0.3000,0,2,2
0,8,145,smartphone,0.3000,0.3000,0.3000,0,2,2
0,9,77,smartphone,0.3000,0.0000,0.3000,0,1,1
0,9,170,smartphone,0.3000,0.3000,0.3000,0,3,3
0,9,213,car,0.5000,0.0000,0.4000,0,1,1
0,9,348,street light,0.7000,0.0000,0.3000,0,1,1
0,9,414,transportation,0.8000,0.8000,0.3000,0,2,2
0,9,423,transportation,0.8000,0.8000,0.3000,0,4,4
