id_device,x,y
16067,0.481133576,0.479481142
16068,0.481133576,0.479481142
16069,0.481133576,0.479481142
16070,0.493146562,0.451316068
16071,0.493146562,0.451316068
16072,0.493146562,0.451316068
16073,0.493146562,0.451316068
16074,0.493146562,0.451316068
16075,0.592526068,0.493458994
16076,0.592526068,0.493458994
16077,0.592526068,0.493458994
16078,0.513239596,0.484041144
16079,0.513239596,0.484041144
16080,0.513239596,0.484041144
16081,0.385986239,0.406184789
16082,0.385986239,0.406184789
16083,0.385986239,0.406184789
16084,0.385986239,0.406184789
16085,0.385986239,0.406184789
16086,0.660861091,0.60716602
16087,0.660861091,0.60716602
16088,0.660861091,0.60716602
16089,0.660861091,0.60716602
16090,0.660861091,0.60716602
16091,0.469832635,0.587432169
16092,0.469832635,0.587432169
16093,0.469832635,0.587432169
16094,0.469832635,0.587432169
16095,0.469832635,0.587432169
16096,0.459267556,0.427897694
16097,0.459267556,0.427897694
16098,0.459267556,0.427897694
16099,0.511104711,0.487461094
16100,0.511104711,0.487461094
16101,0.511104711,0.487461094
16102,0.668009405,0.700664599
16103,0.668009405,0.700664599
16104,0.668009405,0.700664599
16105,0.774887111,0.52964169
16106,0.774887111,0.52964169
16107,0.774887111,0.52964169
16108,0.774887111,0.52964169
16109,0.774887111,0.52964169
16110,0.409159822,0.349532009
16111,0.409159822,0.349532009
16112,0.409159822,0.349532009
16113,0.572100633,0.503046702
16114,0.572100633,0.503046702
16115,0.572100633,0.503046702
16116,0.637949235,0.419190575
16117,0.637949235,0.419190575
16118,0.637949235,0.419190575
16119,0.637949235,0.419190575
16120,0.637949235,0.419190575
16121,0.691233354,0.550162983
16122,0.691233354,0.550162983
16123,0.691233354,0.550162983
16124,0.691233354,0.550162983
16125,0.691233354,0.550162983
16126,0.602600249,0.607350665
16127,0.602600249,0.607350665
16128,0.602600249,0.607350665
16129,0.602600249,0.607350665
16130,0.602600249,0.607350665
16131,0.534442809,0.721732339
16132,0.534442809,0.721732339
16133,0.534442809,0.721732339
16134,0.388548346,0.479565036
16135,0.388548346,0.479565036
16136,0.388548346,0.479565036
16137,0.526479192,0.634531952
16138,0.526479192,0.634531952
16139,0.526479192,0.634531952
16140,0.526479192,0.634531952
16141,0.526479192,0.634531952
16142,0.511976608,0.472282402
16143,0.511976608,0.472282402
16144,0.511976608,0.472282402
16145,0.511976608,0.472282402
16146,0.511976608,0.472282402
16147,0.460336377,0.59653053
16148,0.460336377,0.59653053
16149,0.460336377,0.59653053
16150,0.843254914,0.650496378
16151,0.843254914,0.650496378
16152,0.843254914,0.650496378
16153,0.843254914,0.650496378
16154,0.843254914,0.650496378
16155,0.502592754,0.601854612
16156,0.502592754,0.601854612
16157,0.502592754,0.601854612
16158,0.52490368,0.553174309
16159,0.52490368,0.553174309
16160,0.52490368,0.553174309
16161,0.57387481,0.440135322
16162,0.420507259,0.49373043
16163,0.420507259,0.49373043
16164,0.420507259,0.49373043
16165,0.407157333,0.479100821
16166,0.407157333,0.479100821
16167,0.407157333,0.479100821
16168,0.407157333,0.479100821
16169,0.407157333,0.479100821
16170,0.484849154,0.468658936
16171,0.483773631,0.467675396
16172,0.485539388,0.471583969
16173,0.486218296,0.473214892
16174,0.486172473,0.475978415
16175,0.484356767,0.474855483
16176,0.483982618,0.467035248
16177,0.484362934,0.468280503
16178,0.484039475,0.472339381
16179,0.487165014,0.467238807
16180,0.485305196,0.472155743
16181,0.484601757,0.469559603
16182,0.48513023,0.473145578
16183,0.488209142,0.467370387
16184,0.483129104,0.467370865
16185,0.607949446,0.436953611
16186,0.60898405,0.439865705
16187,0.607328477,0.434850221
16188,0.604925318,0.438478485
16189,0.60280114,0.433470777
16190,0.602792062,0.433679175
16191,0.604918869,0.435855695
16192,0.604091918,0.436542979
16193,0.600475386,0.438677893
16194,0.605754868,0.43507146
16195,0.605024259,0.433895209
16196,0.605472037,0.437445642
16197,0.604657899,0.435948462
16198,0.604211188,0.438867565
16199,0.605812459,0.437951833
16200,0.605439359,0.438605113
16201,0.606005332,0.438972104
16202,0.602700995,0.434903204
16203,0.605049638,0.440452615
16204,0.602190384,0.434635592
16205,0.60271816,0.435879374
16206,0.609839092,0.436752216
16207,0.607744641,0.435175117
16208,0.603322985,0.438197293
16209,0.609200023,0.433790203
16210,0.354019084,0.35717624
16211,0.357730327,0.371811426
16212,0.399505492,0.363323903
16213,0.357141148,0.364779441
16214,0.388344034,0.365298112
16215,0.402436875,0.364888238
16216,0.363948912,0.391553452
14601,0.833232356,0.498582919
14602,0.834506667,0.498582919
14603,0.837419378,0.502595896
14604,0.824130133,0.508113757
14605,0.835780978,0.516390587
14606,0.865636267,0.513631639
14607,0.864361956,0.513380826
14608,0.862359467,0.513130012
14609,0.864361956,0.502094273
14610,0.8629056,0.502094273
14611,0.7940928,0.510621883
14612,0.773703822,0.507862945
14613,0.778983111,0.508615382
14614,0.7760704,0.508113757
14615,0.792818489,0.51037107
14616,0.831047822,0.498332108
14617,0.832322133,0.498582919
14618,0.863087644,0.54648853
14619,0.864179911,0.546739349
14620,0.855987911,0.534198465
14621,0.855805867,0.535452548
14622,0.855623822,0.536204999
14623,0.855623822,0.537459085
14624,0.855259733,0.539465624
14625,0.855077689,0.540719712
14626,0.855077689,0.541722983
14627,0.854895644,0.542977073
14628,0.853621333,0.542977073
14629,0.853621333,0.542726255
14630,0.853803378,0.541973801
14631,0.853803378,0.541221347
14632,0.853985422,0.539967259
14633,0.854167467,0.539214806
14634,0.854167467,0.538713171
14635,0.854531556,0.536455816
14636,0.8547136,0.534950915
