timestamp,sp_id,sr_id,sr_type,T_D,T_I,Trust
0,0,364,2,1.0,0.75,0.875
0,0,439,4,1.0,0.75,0.875
0,1,90,1,1.0,0.75,0.875
0,1,300,2,1.0,0.75,0.875
0,2,166,1,1.0,0.75,0.875
0,2,396,2,1.0,0.75,0.875
0,3,179,1,1.0,0.75,0.875
0,4,246,1,1.0,0.75,0.875
0,5,119,1,1.0,0.75,0.875
0,5,410,4,1.0,0.75,0.875
0,6,62,1,1.0,0.75,0.875
0,6,130,1,1.0,0.75,0.875
0,6,160,1,1.0,0.75,0.875
0,6,396,2,1.0,0.8333333333333333,0.9166666666666666
0,6,409,2,1.0,0.75,0.875
0,7,398,2,1.0,0.75,0.875
0,10,179,1,1.0,0.8333333333333333,0.9166666666666666
0,10,501,14,1.0,0.75,0.875
0,11,129,1,1.0,0.75,0.875
0,12,1,1,1.0,0.75,0.875
0,12,300,2,1.0,0.8333333333333333,0.9166666666666666
0,16,119,1,1.0,0.8333333333333333,0.9166666666666666
0,16,246,1,1.0,0.8333333333333333,0.9166666666666666
0,17,34,1,1.0,0.75,0.875
0,17,65,1,1.0,0.75,0.875
0,18,110,1,1.0,0.75,0.875
0,21,53,1,1.0,0.75,0.875
0,23,221,1,1.0,0.75,0.875
0,26,28,1,1.0,0.75,0.875
0,27,53,1,1.0,0.8333333333333333,0.9166666666666666
0,27,160,1,1.0,0.8333333333333333,0.9166666666666666
0,27,166,1,1.0,0.8333333333333333,0.9166666666666666
0,27,179,1,1.0,0.875,0.9375
0,27,272,2,1.0,0.75,0.875
0,29,246,1,1.0,0.875,0.9375
0,30,18,1,1.0,0.75,0.875
0,30,107,1,1.0,0.75,0.875
0,35,31,1,1.0,0.75,0.875
0,35,160,1,1.0,0.875,0.9375
0,37,90,1,1.0,0.8333333333333333,0.9166666666666666
0,37,119,1,1.0,0.875,0.9375
0,37,224,1,1.0,0.75,0.875
0,38,4,1,1.0,0.75,0.875
0,38,300,2,1.0,0.875,0.9375
0,39,67,1,1.0,0.75,0.875
0,39,409,2,1.0,0.8333333333333333,0.9166666666666666
0,40,65,1,1.0,0.8333333333333333,0.9166666666666666
