timestamp,sp_id,sr_id,sr_type,Trust
0,0,364,2,0.3
0,0,439,4,0.3666666666666667
0,1,90,1,0.2785714285714286
0,1,300,2,0.23333333333333334
0,2,166,1,0.3666666666666667
0,2,396,2,0.2785714285714286
0,3,179,1,0.3476190476190476
0,4,246,1,0.23333333333333334
0,5,119,1,0.2785714285714286
0,5,410,4,0.3476190476190476
0,6,62,1,0.2785714285714286
0,6,130,1,0.3476190476190476
0,6,160,1,0.2785714285714286
0,6,396,2,0.16714285714285715
0,6,409,2,0.3
0,7,398,2,0.3666666666666667
0,10,179,1,0.2723076923076923
0,10,501,14,0.3
0,11,129,1,0.3
0,12,1,1,0.3476190476190476
0,12,300,2,0.16714285714285715
0,16,119,1,0.21384615384615385
0,16,246,1,0.21384615384615385
0,17,34,1,0.2785714285714286
0,17,65,1,0.23333333333333334
0,18,110,1,0.2785714285714286
0,21,53,1,0.3476190476190476
0,23,221,1,0.33076923076923076
0,26,28,1,0.3
0,27,53,1,0.33743589743589747
0,27,160,1,0.21384615384615385
0,27,166,1,0.3476190476190476
0,27,179,1,0.21466666666666664
0,27,272,2,0.2785714285714286
0,29,246,1,0.161
0,30,18,1,0.3
0,30,107,1,0.33076923076923076
0,35,31,1,0.3476190476190476
0,35,160,1,0.21781818181818183
0,37,90,1,0.21384615384615385
0,37,119,1,0.21781818181818183
0,37,224,1,0.23333333333333334
0,38,4,1,0.2785714285714286
0,38,300,2,0.16338461538461538
0,39,67,1,0.3476190476190476
0,39,409,2,0.3666666666666667
0,40,65,1,0.21384615384615385
0,40,179,1,0.16516363636363635
0,42,300,2,0.19546666666666665
0,43,256,1,0.33076923076923076
0,45,173,1,0.2785714285714286
0,45,403,2,0.3476190476190476
0,47,102,1,0.2785714285714286
0,49,65,1,0.21781818181818183
0,49,130,1,0.2852380952380953
0,49,197,1,0.23333333333333334
0,50,162,1,0.33076923076923076
0,52,129,1,0.24000000000000002
0,53,65,1,0.1716
0,53,221,1,0.2723076923076923
0,53,479,16,0.3
0,54,31,1,0.2723076923076923
0,54,65,1,0.1240711111111111
0,54,255,1,0.2785714285714286
0,56,89,1,0.3
