time_point,mean_trust,std_trust
0,0.6614,0.02008103582985697
1,0.46517663768115936,0.11861799963885346
2,0.3918664347826087,0.1091010390559523
3,0.357636,0.08965613834881543
4,0.33658365217391306,0.07319270220216995
5,0.33383072463768115,0.04735739404974184
6,0.3252019130434783,0.02980568052023141
7,0.3300979710144928,0.02868221983085584
8,0.33713304347826084,0.027123449153303763
9,0.3391031304347826,0.02495033125828032
10,0.34972434782608697,0.029742783618883193
11,0.34605727536231884,0.03131081876146881
12,0.3282003478260869,0.02746532791189884
13,0.33596927536231885,0.03271120365479182
14,0.3414430144927536,0.04137750869378006
15,0.32081478260869567,0.01392962235051537
16,0.31890237681159417,0.012439852222067116
17,0.32009495652173914,0.0200060514487924
18,0.3108412173913043,0.011356753091724278
19,0.30948521739130436,0.0058977909420578015
20,0.3144014492753623,0.015277549797997307
21,0.3310111304347826,0.0204545575393002
22,0.34006342028985503,0.026363822720941794
23,0.34868,0.0320419966086177
24,0.342032,0.03329725647468604
25,0.33677362318840587,0.025020873477095376
26,0.32609008695652175,0.015944083919627563
27,0.3158699130434782,0.017473099887827033
28,0.3302171594202899,0.02304504055839701
29,0.3313608695652174,0.027345509911979076
30,0.3113565217391305,0.022090508444285128
31,0.32597530434782607,0.029525225305050744
32,0.30563872463768116,0.01628529287251875
33,0.3061721739130435,0.017636187260754745
34,0.30817257971014494,0.02447279284022457
35,0.3224246376811595,0.03228032350928837
36,0.33314243478260863,0.03611153774182695
37,0.3079651594202898,0.014997429677029736
38,0.30704736231884056,0.020258440723235852
39,0.3319031304347826,0.03415136556583562
40,0.32788608695652177,0.034299282649264615
41,0.31665165217391306,0.03738419211513953
42,0.3336773913043477,0.0255565995767858
43,0.34539315942028986,0.02973809855463245
44,0.3315460869565217,0.03195601195768097
45,0.3140086956521739,0.033264955588747744
46,0.3210346666666667,0.022655451107600817
47,0.33542753623188404,0.033305039599783114
48,0.3187518260869564,0.027155030565639043
49,0.29849188405797106,0.021926683081193082
50,0.3006472463768116,0.026082083596409605
51,0.30279547826086944,0.033109270480150846
52,0.32158017391304344,0.03274821874078635
53,0.31702515942028986,0.024734792963722215
54,0.30021652173913044,0.02977833279365641
55,0.29886927536231883,0.02162059617286223
56,0.2850114782608695,0.01227800111616408
57,0.2945137391304347,0.024298596369490257
58,0.30265704347826083,0.038575387454734975
59,0.3065731594202899,0.04370298053867582
60,0.2929869565217392,0.024928142476618582
61,0.2858062608695652,0.014474905635625392
62,0.28859066666666666,0.027985728858330422
63,0.2847502608695654,0.024994040039067075
64,0.2789906666666666,0.015093863588023476
65,0.27694144927536235,0.010388701495209322
66,0.2992001739130436,0.024601579037953843
67,0.2904871304347825,0.021333273666898297
68,0.27628498550724634,0.013467591357947664
69,0.28193599999999996,0.015782478385855662
70,0.2842495652173912,0.026089990876666577
71,0.2732362898550724,0.011720025641185
72,0.2660864347826087,0.006813377625056887
73,0.26796869565217385,0.00951630942533738
74,0.278439884057971,0.019454076194110836
75,0.29192695652173917,0.016798172868506434
76,0.3077342608695651,0.03013034028407432
77,0.3053328695652174,0.02731215035235351
78,0.2977549565217391,0.027036397515082734
79,0.3079131594202897,0.018244770852280143
80,0.3093286956521739,0.029582820937192354
81,0.3007798260869565,0.029746457390828034
82,0.30217727536231875,0.03128091606925041
83,0.3010732753623188,0.03932851000101873
84,0.3005194782608695,0.035957588946256856
85,0.30314550724637684,0.030484672795461354
86,0.27563918840579704,0.01922310655862724
87,0.2928332173913044,0.027719357812729
88,0.2896261449275361,0.03732985844409827
89,0.2737108985507247,0.02360277908841449
90,0.2701460869565218,0.01381254617215942
91,0.29098034782608695,0.03034322837444947
92,0.29622266666666686,0.027451296217118754
93,0.2950153043478261,0.03563573853875163
94,0.2927654492753623,0.025106662012815438
95,0.27846057971014493,0.021119520260220043
96,0.2678500869565216,0.02717181797892364
97,0.2520065507246377,0.006095471897656042
98,0.26053055072463766,0.01690523656895144
99,0.2790128695652174,0.0343197615645125
100,0.2709084057971014,0.03632863579814141
101,0.26497542028985527,0.03297473268789098
102,0.2633483478260872,0.017582421558373116
103,0.2746613333333333,0.0305239827379681
104,0.2657360579710144,0.019553145246181347
105,0.27270695652173893,0.04073505771484941
106,0.2674565217391306,0.02823099717620145
107,0.29257095652173903,0.04179064095175082
108,0.268944347826087,0.023391332316130033
109,0.2586642898550725,0.014943981390767419
110,0.2555139130434782,0.013385764165472153
111,0.26424539130434777,0.0235350793925013
112,0.2619860869565217,0.022095564129736504
113,0.25679930434782616,0.018704562313658038
114,0.2553624347826088,0.017005349865643286
115,0.24579333333333336,0.007619256306665798
116,0.24370237681159418,0.0070021770489248954
117,0.2446080000000001,0.00979373914278801
118,0.26607820289855055,0.03515453569874105
119,0.2639301449275362,0.03599695710307381
120,0.2633782608695651,0.030287600512445806
121,0.2597443478260869,0.028583357069841615
122,0.26345501449275366,0.023446304256625788
123,0.2687020869565218,0.029607408578806286
124,0.26245756521739133,0.020082206298313546
125,0.2612985507246378,0.016875349698042268
126,0.2697413913043478,0.034056033305296926
127,0.2697780289855071,0.024965127076298364
128,0.26277240579710137,0.025653031771064712
129,0.2565403478260871,0.022270399119235732
130,0.2597611594202899,0.02357941279486136
131,0.2638192463768116,0.02481258830502082
132,0.25945999999999986,0.023293868033014826
133,0.26997089855072465,0.019543961075946754
134,0.27641582608695636,0.02799576431286457
135,0.26527913043478263,0.02526324622509682
136,0.2588856811594201,0.017452267354443097
137,0.24431866666666685,0.013327371874093065
138,0.252128,0.025682951855267585
139,0.24992591304347841,0.0203527189217064
140,0.27181855072463745,0.011002091622951233
141,0.25043269565217396,0.020854503417038376
142,0.24549060869565223,0.026328023625936833
143,0.2507053913043479,0.02490526084716144
144,0.2548838260869563,0.02531608863496014
145,0.2510005797101449,0.03161183238494535
146,0.24163588405797115,0.03023835027456077
147,0.24332713043478274,0.030419747612514463
148,0.2519081739130435,0.03565775840292487
149,0.2566664927536234,0.03148414427661803
150,0.2647191304347827,0.0297142383238784
151,0.25684446376811604,0.023611215988174828
152,0.24897750724637682,0.03016149193762446
153,0.23846852173913033,0.021513758438789325
154,0.2257022608695652,0.02118013343176468
155,0.22164202898550722,0.017022462247336112
156,0.23157391304347832,0.03256699282557922
157,0.228463884057971,0.03693964741379731
158,0.21826765217391353,0.013519377278978301
159,0.2313448695652173,0.03305912491154019
160,0.2233684057971012,0.027029122265651805
161,0.21262133333333338,0.007890844652718346
162,0.22996556521739125,0.02210960515319622
163,0.2308695072463768,0.01922894168586328
164,0.22859686956521746,0.008206201347477796
165,0.23124782608695654,0.02010128192359026
166,0.2231102608695648,0.014091218026139381
167,0.21897994202898566,0.02436375659201501
168,0.21998417391304353,0.01754467375830754
169,0.22582202898550707,0.02234288217123517
170,0.21769971014492767,0.02276721531443181
171,0.22609791304347843,0.024162541996243486
172,0.23334556521739133,0.03168451095225482
173,0.23507049275362318,0.044639586716111755
174,0.23802973913043482,0.04248799480266875
175,0.22390000000000035,0.022094644160228452
176,0.22255060869565205,0.022953716678719684
177,0.21436782608695665,0.018095210282300773
178,0.2298395942028984,0.02569479557469322
179,0.2255915362318841,0.020373494200778875
180,0.20848956521739131,0.009882526865133008
181,0.21776568115942035,0.02035681535578516
182,0.22475907246376856,0.02158072353809356
183,0.23767860869565222,0.026868008209285057
184,0.21730800000000014,0.022368648456663705
185,0.19591942028985504,0.005593501240069894
186,0.19701234782608676,0.008948043778143521
187,0.20917194202898584,0.02360124963060299
188,0.19461814492753624,0.009807798437054807
189,0.19593391304347815,0.019185770144308428
190,0.2026753623188406,0.02998025973795177
191,0.2119946086956524,0.03693666899129146
192,0.22803547826086928,0.03642923170084412
193,0.22298881159420314,0.04213260359357831
194,0.21966672463768105,0.031318032906927806
195,0.19887043478260863,0.02228597164866598
196,0.19878666666666686,0.016567790888384615
197,0.20313762318840584,0.030670467406127378
198,0.22136486956521773,0.031363682100296754
199,0.2219488115942029,0.031969150701110345
200,0.21243797101449272,0.025490777117271764
201,0.21162104347826122,0.03103901267796229
202,0.20382510144927535,0.0358397759957706
203,0.20009495652173923,0.02480863919190438
204,0.19315286956521727,0.013508129568189652
205,0.18694898550724626,0.008324738271968937
206,0.1878227826086957,0.011249357609757989
207,0.19698000000000007,0.012272512375222937
208,0.19688608695652166,0.015722126083263496
209,0.19267681159420286,0.018864197439508495
210,0.19578608695652172,0.014740320690686223
211,0.205517565217391,0.03491698035382162
212,0.2053053333333334,0.043737546459961835
213,0.21118295652173927,0.03916346021851668
214,0.20319924637681136,0.026261246082721304
215,0.18184492753623233,0.014536029157485985
216,0.20150052173913052,0.026021459072845515
217,0.1993832463768116,0.019583313972420916
218,0.21075489855072443,0.03511477175658265
219,0.21323304347826114,0.03575484900502904
220,0.21227188405797132,0.020442383016626077
221,0.20940359420289845,0.01280370377993626
222,0.2005951304347827,0.01734522943277535
223,0.19967785507246366,0.020294372148616294
224,0.20075275362318878,0.02432424707551664
225,0.22391304347826102,0.016025476409139358
226,0.2160157681159415,0.02571628167834086
227,0.19223715942028977,0.021961740717583396
228,0.20008626086956519,0.012939486465414922
229,0.20540347826086952,0.024626594439215693
230,0.21187999999999999,0.03903080037326642
231,0.21551669565217418,0.017298365611357194
232,0.2095175652173913,0.03440940881796506
233,0.20822736231884056,0.030181442064810732
234,0.21037634782608716,0.02945949740349527
235,0.2055362318840575,0.03528391103111653
236,0.1901008115942028,0.027829321317703666
237,0.1836667826086958,0.027708998760238523
238,0.17998214492753606,0.02624150741030104
239,0.19211744927536256,0.02953830767600138
240,0.16937304347826082,0.017517916380920606
241,0.16400069565217393,0.011695955634372887
242,0.16055982608695654,0.008585981226776012
243,0.17318452173913057,0.012499519118462924
244,0.18403866666666707,0.02678361244533569
245,0.19062666666666614,0.023044727531535563
246,0.1760307826086953,0.02852355793564537
247,0.16634579710144942,0.014471878651924654
248,0.1702710144927536,0.025369297626347268
249,0.1751989565217391,0.024291108232762933
250,0.17411536231884056,0.006863446281135029
251,0.16937466666666653,0.016161073623459848
252,0.1904168695652177,0.025679307374838128
253,0.19540133333333254,0.02026671859642519
254,0.18398718840579736,0.021643668534458326
255,0.16509130434782576,0.012671401794610328
256,0.17233391304347823,0.03115867491228465
257,0.16741228985507256,0.029639810234770615
258,0.1522067826086957,0.015996772334178254
259,0.15903472463768106,0.019457183059411028
260,0.18034434782608716,0.03352587374765965
261,0.19081808695652144,0.028989483630785594
262,0.18745495652173938,0.03000595080073984
263,0.18118150724637636,0.02160275575347977
264,0.1633692173913045,0.018181871888259007
265,0.1653997101449274,0.021414697244066354
266,0.1580856811594204,0.015923108056723707
267,0.14907234782608697,0.012853617232600024
268,0.15825826086956557,0.017465085569886307
269,0.17641976811594162,0.03707359748043781
270,0.1498626086956521,0.016040872558516366
271,0.15509594202898566,0.029986648384503926
272,0.14898278260869546,0.014963725064162239
273,0.15717739130434763,0.028766703767916926
274,0.16788220289855077,0.0329781780857319
275,0.15193971014492752,0.030599633287343428
276,0.1478039999999999,0.02000160553555622
277,0.15785107246376825,0.008091791283257987
278,0.16947942028985485,0.02222787815164893
279,0.17538904347826073,0.024004336114910357
280,0.1646489855072462,0.02928205759857859
281,0.16835727536231898,0.02682158645896226
282,0.17018695652173954,0.018175025179202303
283,0.1583214492753624,0.028716967668124163
284,0.1431148985507243,0.014928739984221236
285,0.13714521739130434,0.017741798094385117
286,0.1476215072463763,0.018657044189582212
287,0.15179930434782654,0.022787447143113072
288,0.13805947826086945,0.017944845898512498
289,0.13662910144927531,0.021630353290628852
290,0.1446907246376814,0.02281349393780091
291,0.15402539130434806,0.03217067550526484
292,0.15518243478260846,0.03474598976235106
293,0.14679437681159388,0.022303230550577677
294,0.15461165217391348,0.0187487195850651
295,0.15150753623188398,0.01103373309612615
296,0.14542075362318846,0.01846745568854816
297,0.14501965217391324,0.01570267885204402
298,0.15636197101449262,0.019101251726365717
299,0.17050133333333367,0.03150886983409833
300,0.17496695652174,0.020403826061756402
301,0.15145657971014465,0.024562897758823782
302,0.1503663188405798,0.0209204478158726
303,0.136840695652174,0.011115879714278541
304,0.14188428985507232,0.019193936616452117
305,0.13779333333333357,0.011543147865028193
306,0.12764278260869538,0.012753995131071737
307,0.1439325797101456,0.02375358475108139
308,0.12874869565217337,0.02020793557235831
309,0.1254495652173918,0.013068613046400121
310,0.15110782608695672,0.035618939306261005
311,0.13651605797101463,0.035412694553478036
312,0.1248358260869565,0.022953405489413384
313,0.13761692753623186,0.02847562507231364
314,0.13921153623188398,0.03926082177661459
315,0.13961565217391309,0.03611096933919462
316,0.12763588405797083,0.033728252976078024
