smartphone,car,smart fitness,point of interest,environment monitor,transportation,indicator,garbage truck,street light,parking,alarms
0.29271124260354997,0.3108022058823523,0.18590000000000007,0.6780899999999999,0.8339214285714286,0.7411333333333332,0.6614,0.5733,0.6625793103448274,0.5755634920634919,0.8687666666666667
0.2891439293371064,0.3079506223358909,0.18540509204857028,0.6680920869565218,0.8099818426501036,0.7318603059581322,0.46517663768115936,0.5281176811594204,0.6491506296851575,0.5232095698182654,0.8575813526570047
0.28557661607066287,0.30688653878942856,0.18491018409714072,0.6580941739130435,0.7860422567287787,0.7225872785829308,0.3918664347826087,0.4829353623188406,0.6357219490254871,0.4708556475730391,0.846396038647343
0.2820093028042193,0.3056923081841435,0.18441527614571093,0.6480962608695652,0.7621026708074534,0.7133142512077295,0.357636,0.4377530434782609,0.622293268365817,0.4185017253278122,0.8352107246376811
0.2784419895377755,0.30456351875532817,0.18392036819428126,0.6380983478260869,0.7381630848861284,0.7040412238325282,0.33658365217391306,0.43236753623188406,0.6090668315842079,0.3688962686910513,0.8240254106280194
0.2748746762713318,0.30346193520886616,0.18342546024285153,0.6281004347826087,0.7142234989648032,0.694768196457327,0.33383072463768115,0.4769594202898551,0.5981378060969518,0.3377664366229585,0.8128400966183574
0.2715358168253151,0.3023059398976985,0.1829305522914219,0.6181025217391304,0.6923704968944101,0.6854951690821256,0.3252019130434783,0.5215513043478262,0.5877095052473763,0.3206232574189095,0.8016547826086956
0.2682977034559645,0.3011992092924123,0.18243564433999215,0.6081046086956523,0.6724143892339545,0.6762221417069242,0.3300979710144928,0.5661431884057971,0.5783636331834082,0.31024932597193466,0.7904694685990338
0.2650775388045623,0.30012409633418635,0.18194073638856248,0.5987914782608696,0.6567200207039336,0.666949114331723,0.33713304347826084,0.5712,0.5692183558220889,0.30179433172302733,0.779284154589372
0.26195224594803196,0.2990806010230178,0.18144582843713275,0.5930979130434784,0.6427117391304347,0.6576760869565218,0.3391031304347826,0.5712,0.5611446176911544,0.29567320910973083,0.76809884057971
0.2588363605179659,0.29779004688832067,0.1809509204857032,0.5874043478260871,0.6325678053830227,0.6502229468599035,0.34972434782608697,0.5712,0.5533645177411293,0.290801495284104,0.7569135265700483
0.2557936866478,0.29666125745950533,0.18045601253427332,0.5817107826086956,0.6224492132505176,0.6429257971014494,0.34605727536231884,0.5600139130434783,0.5458195602198902,0.28802373130894865,0.7457282125603865
0.2528973552868536,0.2955324680306906,0.17996110458284373,0.5760172173913042,0.6133026708074535,0.6356286473429953,0.3282003478260869,0.5261060869565217,0.5387144827586205,0.28617380262249825,0.7345428985507246
0.2501117811508448,0.2944036786018749,0.17946619663141403,0.570323652173913,0.6054785093167702,0.628331497584541,0.33596927536231885,0.4921982608695652,0.5315967016491756,0.285274819415689,0.7233575845410628
0.24751744790326716,0.29327488917306066,0.17897128867998438,0.5646300869565217,0.5980603726708075,0.6213850724637682,0.3414430144927536,0.45829043478260867,0.5244542728635683,0.28408130664826325,0.712172270531401
0.24506372523797262,0.29214609974424527,0.17847638072855465,0.5589365217391304,0.5900689440993788,0.6158415458937199,0.32081478260869567,0.43046956521739127,0.5173118440779609,0.28399986197377486,0.7009869565217391
0.24272564617099723,0.2910165750213128,0.17798147277712503,0.5533235072463769,0.5817335403726709,0.6102980193236714,0.31890237681159417,0.4044342028985507,0.510313788105947,0.28396637681159426,0.6898016425120773
0.24038773004030534,0.2899401641091221,0.17748656482569528,0.5478831014492754,0.5730903105590063,0.6047544927536233,0.32009495652173914,0.3783988405797101,0.5036540679660171,0.2839208741660916,0.6786163285024154
0.238082212503216,0.28890303708439863,0.17699165687426557,0.5424426956521738,0.5670664596273292,0.5992109661835748,0.3108412173913043,0.36338086956521737,0.49759178410794597,0.28353392684610074,0.6674310144927537
0.23581577394734587,0.2878659100596762,0.17649674892283587,0.5370022898550724,0.5605265010351967,0.5928447665056361,0.30948521739130436,0.3882353623188406,0.4922393903048477,0.28326878306878306,0.6635376811594202
0.23361344653117208,0.2868287830349531,0.17600184097140614,0.531561884057971,0.5539865424430642,0.5863243156199678,0.3144014492753623,0.41308985507246376,0.4874914292853571,0.28297736369910287,0.6610115942028986
0.23154214561358366,0.2858417071611255,0.17550693301997652,0.5261214782608696,0.5481660869565218,0.5799679227053139,0.3310111304347826,0.437944347826087,0.4832468965517241,0.2825277018633541,0.6584855072463768
0.2295330983620615,0.2848754859335034,0.17501202506854677,0.5206810724637683,0.5423448654244306,0.5743751529790662,0.34006342028985503,0.4461031884057971,0.4788778560719638,0.281432132505176,0.6559594202898551
0.22753226824457592,0.2839085294117649,0.1745171171171172,0.5152406666666666,0.5370147619047619,0.5696762962962962,0.34868,0.44565333333333335,0.474608275862069,0.2807797883597885,0.6534333333333333
0.2255402727038846,0.28294230818414284,0.17402220916568742,0.5102945217391304,0.5331051552795031,0.5649774396135265,0.342032,0.44520347826086953,0.4704369565217391,0.2801794616977225,0.6509072463768116
0.22363247577394746,0.28199647271952255,0.17352730121425772,0.5063059420289856,0.5296098343685302,0.5605154589371981,0.33677362318840587,0.44211594202898546,0.46645019990004993,0.279778421900161,0.6483811594202898
0.2217712031558186,0.28108733162830385,0.173032393262828,0.503066579710145,0.5268602277432712,0.5564798550724638,0.32609008695652175,0.4160805797101449,0.46280842078960516,0.280972716816195,0.645855072463768
0.21987871880627724,0.28017819053708415,0.17253748531139834,0.4998272173913043,0.5246752173913043,0.5524442512077294,0.3158699130434782,0.3900452173913043,0.4600777361319339,0.28245987577639753,0.6433289855072464
