timestamp,sp_id,sr_id,sr_type,T_D,T_I,Trust
0,0,278,2,1.0,0.75,0.875
0,1,4,1,1.0,0.75,0.875
0,1,25,1,1.0,0.75,0.875
0,3,391,11,1.0,0.75,0.875
0,3,392,11,1.0,0.75,0.875
0,3,393,11,1.0,0.75,0.875
0,4,161,1,1.0,0.75,0.875
0,4,377,11,1.0,0.75,0.875
0,4,379,11,1.0,0.75,0.875
0,4,380,11,1.0,0.75,0.875
0,4,384,11,1.0,0.75,0.875
0,6,17,1,1.0,0.75,0.875
0,7,53,1,1.0,0.75,0.875
0,9,17,1,1.0,0.8333333333333333,0.9166666666666666
0,10,25,1,1.0,0.8333333333333333,0.9166666666666666
0,10,142,1,1.0,0.75,0.875
0,12,176,1,1.0,0.75,0.875
0,14,173,1,1.0,0.75,0.875
0,14,318,2,1.0,0.75,0.875
0,17,6,1,1.0,0.75,0.875
0,17,90,1,1.0,0.75,0.875
0,17,146,1,1.0,0.75,0.875
0,17,318,2,1.0,0.8333333333333333,0.9166666666666666
0,17,377,11,1.0,0.8333333333333333,0.9166666666666666
0,17,379,11,1.0,0.8333333333333333,0.9166666666666666
0,17,380,11,1.0,0.8333333333333333,0.9166666666666666
0,21,85,1,1.0,0.75,0.875
0,21,257,2,1.0,0.75,0.875
0,23,297,2,1.0,0.75,0.875
0,23,354,4,1.0,0.75,0.875
0,25,175,1,1.0,0.75,0.875
0,26,377,11,1.0,0.875,0.9375
0,26,379,11,1.0,0.875,0.9375
0,26,380,11,1.0,0.875,0.9375
0,26,391,11,1.0,0.8333333333333333,0.9166666666666666
0,26,392,11,1.0,0.8333333333333333,0.9166666666666666
0,26,393,11,1.0,0.8333333333333333,0.9166666666666666
0,27,4,1,1.0,0.8333333333333333,0.9166666666666666
0,27,161,1,1.0,0.8333333333333333,0.9166666666666666
0,27,329,2,1.0,0.75,0.875
0,28,32,1,1.0,0.75,0.875
0,28,161,1,1.0,0.875,0.9375
0,30,4,1,1.0,0.875,0.9375
0,30,17,1,1.0,0.875,0.9375
0,30,200,1,1.0,0.75,0.875
0,32,28,1,1.0,0.75,0.875
0,38,161,1,1.0,0.9,0.95
0,38,197,1,1.0,0.75,0.875
0,41,84,1,1.0,0.75,0.875
0,41,165,1,1.0,0.75,0.875
0,41,392,11,1.0,0.875,0.9375
0,41,393,11,1.0,0.875,0.9375
0,43,25,1,1.0,0.875,0.9375
0,43,176,1,1.0,0.8333333333333333,0.9166666666666666
0,44,313,2,1.0,0.75,0.875
0,45,181,1,1.0,0.75,0.875
0,45,261,2,1.0,0.75,0.875
0,45,380,11,1.0,0.9,0.95
0,45,391,11,1.0,0.875,0.9375
0,45,392,11,1.0,0.9,0.95
0,45,393,11,1.0,0.9,0.95
0,46,25,1,1.0,0.9,0.95
