timestamp,sp_id,sr_id,sr_type,Trust
0,0,178,1,0.3
0,0,410,13,0.3476190476190476
0,3,358,14,0.20714285714285713
0,3,368,14,0.20714285714285713
0,4,178,1,0.2852380952380953
0,4,409,13,0.33076923076923076
0,5,410,13,0.298974358974359
0,7,69,1,0.3666666666666667
0,7,410,13,0.27764102564102566
0,8,172,1,0.3
0,8,339,4,0.2785714285714286
0,8,409,13,0.2723076923076923
0,9,62,1,0.33076923076923076
0,9,186,1,0.2785714285714286
0,10,392,11,0.3857142857142857
0,11,17,1,0.2785714285714286
0,11,383,9,0.2785714285714286
0,11,392,11,0.3327272727272727
0,11,409,13,0.2752727272727273
0,13,172,1,0.2852380952380953
0,13,409,13,0.2288
0,13,410,13,0.3666666666666667
0,14,6,1,0.33076923076923076
0,14,17,1,0.21384615384615385
0,14,25,1,0.3476190476190476
0,15,55,1,0.3476190476190476
0,15,69,1,0.3476190476190476
0,15,409,13,0.18394666666666665
0,16,94,1,0.3476190476190476
0,16,372,10,0.23333333333333334
0,16,409,13,0.12493511111111111
0,17,409,13,0.1360592
0,18,25,1,0.2852380952380953
0,19,394,11,0.2875
0,20,62,1,0.2683333333333333
0,20,385,9,0.3666666666666667
0,20,409,13,0.15170450285714285
0,20,410,13,0.3666666666666667
0,21,410,13,0.3333333333333333
0,22,409,13,0.005308415999999998
0,22,410,13,0.3119047619047619
0,23,409,13,0.004246732799999999
0,23,410,13,0.24952380952380954
0,24,409,13,0.004246732799999999
0,24,410,13,0.2391794871794872
0,27,172,1,0.2281904761904762
0,27,409,13,0.004246732799999999
0,28,173,1,0.33076923076923076
0,28,409,13,0.004246732799999999
0,29,409,13,0.004246732799999999
0,29,410,13,0.23493333333333333
0,30,344,4,0.13846153846153847
0,30,409,13,0.004246732799999999
0,30,410,13,0.054613333333333354
0,32,119,1,0.3
0,33,173,1,0.2683333333333333
0,33,344,4,0.22285714285714284
0,33,397,11,0.3476190476190476
0,33,410,13,0.3666666666666667
0,34,344,4,0.098
0,34,409,13,0.004246732799999999
0,34,410,13,0.19999999999999998
0,35,274,2,0.3
0,35,410,13,0.3666666666666667
0,36,17,1,0.11292307692307693
0,36,67,1,0.3
0,36,173,1,0.286
0,37,29,1,0.14545454545454545
0,37,187,1,0.33076923076923076
0,37,394,11,0.2723076923076923
0,37,409,13,0.004246732799999999
0,38,241,2,0.3208333333333333
0,38,410,13,0.38541666666666663
0,39,242,2,0.3
0,39,409,13,0.004246732799999999
0,40,409,13,0.004246732799999999
0,41,409,13,0.004246732799999999
0,42,409,13,0.004246732799999999
0,42,410,13,0.3119047619047619
0,43,410,13,0.298974358974359
0,44,344,4,0.09129999999999999
0,44,372,10,0.12166666666666665
0,45,409,13,0.004246732799999999
0,45,410,13,0.2936666666666667
0,46,409,13,0.004246732799999999
0,47,268,2,0.3208333333333333
0,47,409,13,0.004246732799999999
0,47,410,13,0.38541666666666663
0,48,410,13,0.26666666666666666
0,49,201,2,0.3
0,49,410,13,0.3066666666666667
0,50,201,2,0.23857142857142857
0,50,218,2,0.3
0,50,409,13,0.004246732799999999
0,50,410,13,0.2996190476190476
0,51,187,1,0.21384615384615385
0,51,392,11,0.2752727272727273
0,51,394,11,0.21466666666666664
0,51,409,13,0.004246732799999999
0,52,119,1,0.22285714285714284
0,52,344,4,0.24526222222222221
0,52,410,13,0.2766
0,55,333,4,0.3476190476190476
0,55,410,13,0.28188606060606064
0,56,409,13,0.004246732799999999
0,56,410,13,0.18005430303030304
0,57,186,1,0.21384615384615385
0,57,409,13,0.004246732799999999
0,58,410,13,0.18495253333333334
0,59,173,1,0.24382222222222222
0,60,53,1,0.3476190476190476
0,60,78,1,0.2785714285714286
0,62,20,1,0.3476190476190476
0,62,409,13,0.004246732799999999
0,62,410,13,0.17796202666666666
0,63,392,11,0.13594285714285714
0,63,409,13,0.004246732799999999
0,64,394,11,0.13594285714285714
0,64,409,13,0.004246732799999999
0,64,410,13,0.3557029546666667
0,66,55,1,0.33743589743589747
0,66,172,1,0.22211282051282055
0,66,409,13,0.004246732799999999
0,67,409,13,0.004246732799999999
0,69,187,1,0.21781818181818183
0,71,17,1,0.1125090909090909
0,71,169,1,0.3476190476190476
0,71,172,1,0.16999794871794874
0,71,173,1,0.29867428571428567
0,71,409,13,0.004246732799999999
0,71,410,13,0.3666666666666667
0,73,409,13,0.004246732799999999
0,73,410,13,0.3119047619047619
0,74,24,1,0.2833333333333333
0,74,69,1,0.2852380952380953
0,74,387,9,0.2785714285714286
0,74,409,13,0.004246732799999999
0,74,410,13,0.24000000000000002
0,75,178,1,0.27764102564102566
0,75,409,13,0.004246732799999999
0,76,24,1,0.2733333333333333
0,76,410,13,0.2281904761904762
0,77,392,11,0.14228
0,77,409,13,0.004246732799999999
0,78,119,1,0.21784615384615386
0,78,410,13,0.17540952380952382
0,79,70,1,0.3
0,79,261,2,0.2785714285714286
0,79,410,13,0.3666666666666667
0,80,409,13,0.004246732799999999
0,80,410,13,0.26666666666666666
0,81,397,11,0.34
0,82,32,1,0.3476190476190476
0,82,409,13,0.004246732799999999
0,84,258,2,0.3
0,84,409,13,0.004246732799999999
0,86,410,13,0.24952380952380954
0,87,5,1,0.2
0,87,350,14,0.23333333333333334
0,87,358,14,0.21384615384615385
0,87,368,14,0.21384615384615385
0,87,410,13,0.27764102564102566
0,88,70,1,0.2852380952380953
0,90,189,1,0.3666666666666667
0,90,409,13,0.004246732799999999
0,91,409,13,0.004246732799999999
0,91,410,13,0.18365128205128206
0,92,78,1,0.2723076923076923
0,92,410,13,0.3666666666666667
0,93,367,14,0.19583333333333333
0,94,199,2,0.3476190476190476
