timestamp,sp_id,sr_id,sr_type,T_D,T_I,Trust
0,0,157,1,1.0,0.75,0.875
0,2,25,1,1.0,0.75,0.875
0,2,53,1,1.0,0.75,0.875
0,3,300,2,1.0,0.75,0.875
0,4,102,1,1.0,0.75,0.875
0,4,162,1,1.0,0.75,0.875
0,4,187,1,1.0,0.75,0.875
0,5,102,1,1.0,0.8333333333333333,0.9166666666666666
0,5,161,1,1.0,0.75,0.875
0,5,165,1,1.0,0.75,0.875
0,5,237,2,1.0,0.75,0.875
0,5,286,2,1.0,0.75,0.875
0,6,20,1,1.0,0.75,0.875
0,6,90,1,1.0,0.75,0.875
0,6,181,1,1.0,0.75,0.875
0,7,181,1,1.0,0.8333333333333333,0.9166666666666666
0,7,232,2,1.0,0.75,0.875
0,8,5,1,1.0,0.75,0.875
0,8,90,1,1.0,0.8333333333333333,0.9166666666666666
0,9,117,1,1.0,0.75,0.875
0,11,183,1,1.0,0.75,0.875
0,11,204,2,1.0,0.75,0.875
0,14,172,1,1.0,0.75,0.875
0,15,5,1,1.0,0.8333333333333333,0.9166666666666666
0,15,223,2,1.0,0.75,0.875
0,16,117,1,1.0,0.8333333333333333,0.9166666666666666
0,16,180,1,1.0,0.75,0.875
0,16,330,4,1.0,0.75,0.875
0,19,162,1,1.0,0.8333333333333333,0.9166666666666666
0,20,6,1,1.0,0.75,0.875
0,25,2,1,1.0,0.75,0.875
0,25,162,1,1.0,0.875,0.9375
0,27,90,1,1.0,0.875,0.9375
0,27,162,1,1.0,0.9,0.95
0,27,214,2,1.0,0.75,0.875
0,28,90,1,1.0,0.9,0.95
0,28,278,2,1.0,0.75,0.875
0,29,117,1,1.0,0.875,0.9375
0,31,5,1,1.0,0.875,0.9375
0,33,58,1,1.0,0.75,0.875
0,33,84,1,1.0,0.75,0.875
0,36,183,1,1.0,0.8333333333333333,0.9166666666666666
0,36,187,1,1.0,0.8333333333333333,0.9166666666666666
0,40,92,1,1.0,0.75,0.875
0,40,141,1,1.0,0.75,0.875
0,41,5,1,1.0,0.9,0.95
0,41,6,1,1.0,0.8333333333333333,0.9166666666666666
0,43,383,14,1.0,0.75,0.875
0,44,117,1,1.0,0.9,0.95
0,44,399,14,1.0,0.75,0.875
0,45,77,1,1.0,0.75,0.875
0,45,413,9,1.0,0.75,0.875
0,46,117,1,1.0,0.9166666666666667,0.9583333333333334
0,46,183,1,1.0,0.875,0.9375
0,47,6,1,1.0,0.875,0.9375
0,48,183,1,1.0,0.9,0.95
0,50,157,1,1.0,0.8333333333333333,0.9166666666666666
0,53,2,1,1.0,0.8333333333333333,0.9166666666666666
0,57,25,1,1.0,0.8333333333333333,0.9166666666666666
0,57,162,1,1.0,0.9166666666666667,0.9583333333333334
0,59,4,1,1.0,0.75,0.875
0,59,6,1,1.0,0.9,0.95
0,59,290,2,1.0,0.75,0.875
0,60,345,4,1.0,0.75,0.875
0,62,298,2,1.0,0.75,0.875
0,63,157,1,1.0,0.875,0.9375
0,67,181,1,1.0,0.875,0.9375
0,68,70,1,1.0,0.75,0.875
0,68,81,1,1.0,0.75,0.875
0,68,90,1,1.0,0.9166666666666667,0.9583333333333334
0,68,157,1,1.0,0.9,0.95
0,68,187,1,1.0,0.875,0.9375
0,68,192,1,1.0,0.75,0.875
0,69,80,1,1.0,0.75,0.875
0,69,117,1,1.0,0.9285714285714285,0.9642857142857142
0,69,183,1,1.0,0.9166666666666667,0.9583333333333334
0,70,77,1,1.0,0.8333333333333333,0.9166666666666666
0,72,6,1,1.0,0.9166666666666667,0.9583333333333334
0,73,157,1,1.0,0.9166666666666667,0.9583333333333334
0,75,77,1,1.0,0.875,0.9375
0,75,90,1,1.0,0.9285714285714285,0.9642857142857142
