time_point,mean_trust,std_trust
0,0.27791666666666665,0.06267563100777065
1,0.24308666666666667,0.05404639200620971
2,0.20825666666666667,0.04975987462024219
3,0.1810516666666667,0.04367641332064202
4,0.15739333333333333,0.03902604714233245
5,0.13550833333333334,0.0346642757588975
6,0.11567333333333334,0.03357503569949289
7,0.09582999999999998,0.034307885876767946
8,0.07598666666666669,0.03674048750659443
9,0.056526666666666676,0.040378777704245694
10,0.03706666666666667,0.04512396505430592
11,0.03592833333333333,0.048495691360733846
12,0.03479000000000001,0.05190245434145351
13,0.03446833333333333,0.054915425403271004
14,0.03489,0.05759897076626745
15,0.03568333333333334,0.06012078583060012
16,0.03059333333333333,0.048372938256380026
17,0.025503333333333322,0.03662704313603389
18,0.02041333333333333,0.024880982474349538
19,0.015548333333333324,0.01303663225513227
20,0.010683333333333335,0.0015301597592698901
21,0.009068333333333333,0.0013113023636403948
22,0.007453333333333332,0.0015271614918607062
23,0.00633,0.00121092251334812
24,0.0056533333333333305,0.0007855076207282904
25,0.0052,0.0006110100926607786
26,0.005386666666666667,0.0005359933664597809
27,0.005573333333333333,0.0005725576147622374
28,0.00576,0.0006400000000000007
29,0.006080000000000001,0.0006974238309665087
30,0.0064,0.0009237604307034014
